# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
162 -3615.63 -6395.64 -5469.5 -1280.35 2306.41 299.609
163 -3717.82 -6916.48 -5054.15 -1277.88 1638.63 -92.9115
164 -3686.49 -7270.02 -4298.92 -1221.95 847.995 -563.28
165 -3660.96 -7471.71 -3491.27 -1072.45 218.474 -883.876
166 -3724.26 -7517.03 -2961.42 -852.799 -56.37 -880.734
167 -3929.44 -7418.97 -2960.79 -617.129 63.5779 -474.977
168 -4328.37 -7242.87 -3520.17 -394.68 472.55 281.628
169 -4957.02 -7095.02 -4394.87 -156.579 978.677 1215.76
170 -5803.9 -7075.34 -5187.45 150.768 1378.68 2089.13
171 -6794.88 -7233.18 -5580.53 530.164 1512.95 2668.87
172 -7793.83 -7545.92 -5496.48 894.862 1298.12 2788.1
173 -8621.11 -7918.48 -5067.64 1105.39 749.477 2394.24
174 -9102.36 -8198.09 -4505.14 1054.35 -13.5711 1570.77
175 -9134.05 -8210.18 -4032.68 737.103 -799.222 525.298
176 -8733.51 -7807.86 -3855.48 260.96 -1404.01 -461.319
177 -8042.42 -6927.63 -4080.86 -207.44 -1670.86 -1125.96
178 -7282.31 -5661.65 -4643.75 -509.479 -1526.03 -1316.63
179 -6675.53 -4283.3 -5334.3 -552.247 -993.225 -1052.78
180 -6355.84 -3157.41 -5926.01 -349.224 -189.145 -532.973
181 -6308.67 -2572.68 -6294.06 -21.472 682.495 -66.2252
182 -6378.77 -2597.67 -6435.66 248.238 1358.23 57.3189
183 -6351.9 -3062.59 -6441.61 293.06 1599.24 -297.469
184 -6061.35 -3657.23 -6425.95 34.7581 1315.23 -1052.26
185 -5451.18 -4064.08 -6439.08 -485.717 641.353 -1970.38
186 -4564.12 -4070.39 -6435.41 -1133.15 -108.297 -2770.91
187 -3499.01 -3635.6 -6326.58 -1735.77 -592.629 -3225.79
188 -2393.87 -2906.3 -6075.88 -2143.71 -606.464 -3218.6
189 -1414.81 -2164.91 -5753.05 -2263.13 -162.728 -2770.36
190 -716.277 -1716.04 -5492.79 -2070.4 542.858 -2022.74
191 -386.186 -1764.74 -5395.54 -1620.88 1241.07 -1183.92
192 -421.518 -2335.95 -5469.36 -1043.26 1692.07 -458.749
193 -752.198 -3264.59 -5653.61 -510.832 1738.39 8.68796
194 -1280.98 -4262.14 -5851.45 -186.051 1326.76 161.629
195 -1902.04 -5030.51 -5924.07 -146.706 531.256 33.4697
196 -2512.55 -5377.34 -5712.83 -336.194 -448.225 -263.237
197 -3034.71 -5282.79 -5147.36 -583.767 -1347.05 -566.645
198 -3433.85 -4881.34 -4359.8 -693.743 -1941.76 -717.949
199 -3730.82 -4377.12 -3669.41 -544.486 -2141.11 -616.065
200 -4003.21 -3952.44 -3411 -128.276 -2006 -244.108
201 -4363.93 -3731.3 -3739.49 477.41 -1688.11 330.784
202 -4916.7 -3791.18 -4552.34 1162.33 -1338.73 962.622
203 -5704.73 -4161.63 -5561.81 1816.23 -1064.2 1455.78
204 -6679.64 -4784.58 -6441.17 2338.22 -940.316 1641.9
205 -7716.31 -5493.07 -6938.34 2646.86 -1020.82 1463.34
206 -8656.34 -6070.4 -6927.87 2701.59 -1306.65 992.114
207 -9347.82 -6356.86 -6448.05 2520.35 -1714.84 374.984
208 -9670.55 -6309.16 -5705.94 2172.56 -2087.72 -239.901
209 -9562.5 -5977.27 -5014.41 1746.89 -2248.67 -745.936
210 -9050.52 -5446.49 -4677.82 1321.31 -2083.48 -1080.43
211 -8264.38 -4812.86 -4871.11 959.868 -1601.98 -1208.97
212 -7391.87 -4185.93 -5536.92 723.648 -933.091 -1121.56
213 -6597.35 -3682.33 -6373.71 663.412 -249.528 -847.621
214 -5977.04 -3402.26 -6988.98 784.554 312.742 -470.895
215 -5567.63 -3386.52 -7135.2 1012.24 675.878 -116.648
216 -5345.57 -3567.49 -6825.27 1199.99 797.951 87.2185
217 -5208.89 -3775.59 -6255.93 1189.23 679.41 61.4141
218 -4986.47 -3816.26 -5653.02 887.224 401.414 -188.935
219 -4496.18 -3556.55 -5179.55 324.67 123.896 -577.054
220 -3633.61 -2989.56 -4926.57 -341.103 9.29619 -968.144
221 -2439.85 -2243.56 -4914.9 -881.156 127.938 -1218.09
222 -1102.36 -1511.79 -5066.67 -1080.7 425.132 -1208.71
223 109.12 -970.767 -5201.02 -830.427 770.634 -884.752
224 938.872 -754.374 -5117.23 -185.507 1034.48 -289.754
225 1246.6 -958.662 -4741.81 648.453 1121.58 426.414
226 1068.47 -1616.92 -4206.66 1397.74 971.141 1057.83
227 589.945 -2644.09 -3765.1 1834.99 564.696 1433.71
228 35.8053 -3818.81 -3612.81 1870.14 -45.6006 1490.03
229 -441.824 -4856.9 -3749.84 1579.82 -716.303 1276.34
230 -800.599 -5538.38 -3983.69 1160.56 -1234.69 913.218
231 -1075.03 -5801.5 -4082.24 831.98 -1392.27 544.094
232 -1336.6 -5751.43 -3962.21 746.616 -1092.76 302.223
233 -1680.93 -5600.15 -3756.18 949.984 -428.652 285.882
234 -2200.89 -5573.38 -3689.63 1394.4 348.208 529.164
235 -2934.11 -5818.48 -3901.83 1978.28 960.24 967.325
236 -3845.17 -6352.01 -4384.04 2571.89 1248.1 1431.71
237 -4865.1 -7061.84 -5046.79 3032.3 1216.63 1710.67
238 -5930.46 -7749.24 -5789.95 3229.71 978.331 1657.43
239 -6970.19 -8196.22 -6489.03 3093.54 681.599 1270
240 -7864.86 -8236.77 -6969.47 2651.72 479.667 684.17
241 -8450.12 -7819.35 -7078.16 2020.18 505.374 91.784
242 -8595.57 -7052.28 -6823.24 1351.69 812.467 -351.996
243 -8294.64 -6161.65 -6428.7 803.456 1323.7 -579.193
244 -7672.81 -5366.06 -6216.22 516.681 1855.21 -614.596
245 -6918.6 -4769.66 -6398.15 569.705 2210.35 -553.729
246 -6203.75 -4361.1 -6942.5 927.537 2265.56 -522.303
247 -5628.74 -4097.76 -7594.6 1435.99 1999.93 -622.236
248 -5199.94 -3971.52 -8024.49 1872.98 1480.16 -882.964
249 -4842.69 -3985.09 -7993.36 2027.07 828.385 -1248.76
250 -4454.64 -4096.87 -7443.05 1773.98 180.941 -1614.9
251 -3968.76 -4225.92 -6488.25 1131.03 -346.792 -1890.13
252 -3363.24 -4296.71 -5347.48 255.457 -667.995 -2051.31
253 -2647.16 -4271.23 -4275.74 -618.459 -722.059 -2147.32
254 -1885.64 -4164.72 -3523.53 -1262.12 -503.954 -2240.24
255 -1215.22 -4030.41 -3260.83 -1524.82 -102.133 -2345.11
256 -793.757 -3927.11 -3470.57 -1373.99 316.701 -2419.18
257 -707.545 -3904.75 -3917.17 -894.995 592.399 -2397.24
258 -919.615 -4007.51 -4263.62 -264.312 658.41 -2241.2
259 -1318.12 -4268.76 -4277 293.784 547.076 -1969.53
260 -1815.86 -4684.9 -3961.72 575.155 324.864 -1647.7
261 -2391.63 -5181.71 -3513.18 482.153 52.1189 -1343.72
262 -3042.69 -5617.96 -3144.69 73.1352 -193.005 -1083.32
263 -3734.37 -5853 -2958.64 -475.007 -293.421 -842.779
264 -4404.64 -5825.76 -2961.61 -959.507 -136.272 -575.026
265 -4994.59 -5575.31 -3145.54 -1225.83 309.259 -237.261
266 -5456.86 -5200.03 -3513.25 -1192.4 955.822 193.181
267 -5755.16 -4802.35 -4036.54 -847.589 1628.78 704.379
268 -5884.63 -4465.45 -4622.23 -251.79 2128.17 1239.03
269 -5892.73 -4261.39 -5147.01 460.835 2291.23 1703.59
270 -5862.15 -4244.74 -5535.68 1110.8 2054.81 2008.3
271 -5865.87 -4409.01 -5805.53 1538.39 1493.5 2114.52
272 -5939.22 -4645.79 -6032.36 1666.98 797.424 2048.25
273 -6074.02 -4768.44 -6268.47 1523.41 196.567 1870.52
274 -6218.55 -4612.78 -6482.33 1210.47 -124.602 1640.3
275 -6282.95 -4147 -6578.22 854.551 -87.7941 1403.24
276 -6166.19 -3505.42 -6485.07 555.158 247.954 1198.79
277 -5817.52 -2921.12 -6235.95 365.333 691.196 1061.09
278 -5288.01 -2597.75 -5962.6 312.127 983.142 1001.63
279 -4716.65 -2602.94 -5803.59 416.157 914.44 988.74
280 -4266.42 -2857.44 -5816.96 669.674 428.859 950.593
281 -4070.14 -3205.05 -5968.75 988.504 -359.046 808.641
282 -4198.01 -3496.15 -6174.2 1203.5 -1235 523.039
283 -4613.68 -3635.94 -6316.65 1132.48 -1981.52 123.92
284 -5146.77 -3600.06 -6253.99 686.004 -2437.82 -293.767
285 -5551.48 -3434.09 -5877.88 -83.5169 -2519.82 -609.546
286 -5640.07 -3247.49 -5209.53 -1020.06 -2235.41 -731.977
287 -5370.62 -3181.32 -4422.48 -1925.7 -1706.28 -650.082
288 -4847.03 -3350.7 -3754.13 -2602.74 -1131.14 -430.629
289 -4274.27 -3796.59 -3374.08 -2887.47 -689.646 -159.245
290 -3872.49 -4458.95 -3292.29 -2699.86 -482.577 98.8754
291 -3782.87 -5212.96 -3393.95 -2105.17 -516.451 293.582
292 -3990.46 -5944.18 -3555.56 -1328.06 -716.338 377.049
293 -4308.64 -6571.32 -3720.51 -675.29 -960.234 319.335
294 -4477.58 -7037.36 -3894.56 -392.361 -1117.69 144.669
295 -4328.92 -7301.66 -4091.58 -540.059 -1078.98 -63.1732
296 -3898.1 -7336.86 -4282.55 -971.495 -776.172 -199.077
297 -3401.33 -7146.63 -4397.27 -1418.18 -201.571 -182.314
298 -3100.81 -6785.67 -4385.42 -1622.95 575.214 16.6178
299 -3155.78 -6351.79 -4289.3 -1445.28 1403.13 363.806
300 -3539.04 -5948.61 -4243.85 -896.069 2083.88 765.32
301 -4049.25 -5645.44 -4384.74 -107.865 2447.47 1093.75
302 -4422.78 -5461.34 -4746.51 720.917 2426.94 1234.78
303 -4490.27 -5378.82 -5251.17 1379.39 2080.95 1128.76
304 -4272.23 -5363.02 -5777.37 1696.6 1554.64 791.553
305 -3950.82 -5363.09 -6217.61 1605.7 1018.07 313.527
306 -3745.11 -5301.24 -6484.61 1190.81 618.589 -161.725
307 -3784.06 -5087.82 -6509.84 655.654 449.485 -483.459
308 -4056 -4680.82 -6272.36 212.978 530.9 -553.829
309 -4430.13 -4150.85 -5838.27 -22.5289 805.587 -373.058
310 -4701.02 -3677.65 -5350.19 -57.7652 1149.41 -41.8817
311 -4658.82 -3454.51 -4959.22 40.2923 1398.46 287.915
312 -4202.52 -3577.46 -4759.48 214.522 1395.22 483.98
313 -3431.92 -4009.45 -4773.06 429.811 1053.95 480.912
314 -2614.38 -4627.1 -4967.37 641.852 412.507 284.893
315 -2035.01 -5280.32 -5272.29 781.298 -368.045 -48.2339
316 -1854.8 -5817.36 -5590.81 783.826 -1059.22 -437.121
317 -2074.29 -6092.92 -5818.83 635.647 -1448.78 -795.395
318 -2580.3 -6001.34 -5870.83 385.326 -1413.15 -1056.53
319 -3202.1 -5534.38 -5697.24 114.227 -958.845 -1188.19
320 -3751.9 -4817.9 -5305.25 -101.213 -221.574 -1189.23
321 -4069.98 -4083.99 -4783.75 -208.979 580.045 -1080.53
322 -4084.71 -3572.03 -4297.38 -180.29 1223.56 -895.002
323 -3851.14 -3408.26 -4023.3 -2.04942 1558.86 -662.346
324 -3537.53 -3543.71 -4069.7 316.545 1550.28 -400.652
325 -3357.89 -3797.14 -4435.47 716.522 1273.79 -124.001
326 -3491.2 -3971.68 -5024.19 1077.78 878.984 142.718
327 -4008.96 -3958.82 -5674.95 1265.12 535.161 358.866
328 -4829.41 -3758.27 -6193.63 1219.9 379.733 486.61
329 -5734.87 -3426.09 -6407.31 1014.63 481.225 521.044
330 -6466.09 -3054.8 -6242.45 805.662 821.435 502.242
331 -6834.6 -2782.23 -5781.12 726.137 1298.64 504.117
332 -6784.84 -2745.02 -5239.07 820.118 1749.16 607.31
333 -6386.67 -2987.2 -4852.51 1059.87 1993.78 854.812
334 -5797.69 -3421.32 -4749.83 1399.38 1903.28 1210.38
335 -5211.74 -3892.14 -4899.5 1793.32 1459.19 1553.45
336 -4782.12 -4278.46 -5161.36 2174.38 768.938 1722.1
337 -4541.83 -4534.96 -5391.89 2442.02 20.7479 1584.94
338 -4395.35 -4657.43 -5533.19 2499.44 -592.768 1108.46
339 -4212.94 -4635.85 -5626.14 2316.1 -938.833 386.842
340 -3954.12 -4452.95 -5742.12 1961.05 -972.936 -382.254
341 -3696.84 -4116.61 -5894.39 1578.81 -732.009 -974.289
342 -3552.01 -3683.37 -6014.87 1320.24 -307.563 -1232.52
343 -3555.17 -3247.83 -6017.72 1273.38 179.279 -1135.85
344 -3632.92 -2900.31 -5885.64 1432.07 592.739 -799.779
345 -3652.46 -2675.94 -5688.78 1711.25 808.204 -403.519
346 -3500.23 -2536.13 -5521.58 1985.1 757.311 -93.0859
347 -3143.83 -2407.24 -5425.19 2121.02 461.699 74.4723
348 -2671.55 -2247.41 -5377.37 2014.98 31.5258 125.021
349 -2278.48 -2071.25 -5342.47 1642.06 -369.255 122.688
350 -2181.82 -1918.09 -5309.6 1101.76 -576.757 129.85
351 -2502.49 -1809.93 -5281.14 603.026 -481.662 190.34
352 -3188.39 -1755.15 -5252.72 366.225 -64.0541 321.522
353 -4021.89 -1785.39 -5205.29 499.531 596.304 515.173
354 -4699.98 -1954.9 -5100.58 943.255 1334.51 747.745
355 -4957.34 -2288.88 -4897.57 1523.52 1949.91 987.164
356 -4691.03 -2743.81 -4593.09 2055.45 2287.55 1192.97
357 -4018.71 -3222.2 -4255.65 2407.5 2305.74 1315.58
358 -3226.31 -3619.96 -4007.88 2504.09 2081.36 1299.91
